Date,Now,Open,High,Low,Volueme,Rate
2016-01-13,28.100,28.100,28.450,28.000,346,1.08
2016-01-12,27.800,28.600,28.900,27.700,430,-2.97
2016-01-11,28.650,29.400,29.500,28.600,523,-3.54
2016-01-10,29.700,29.700,29.700,29.700,097,0.00
2016-01-08,29.700,29.800,30.100,29.550,322,-1.66
2016-01-07,30.200,30.400,30.750,30.200,222,-1.79
2016-01-06,30.750,30.600,30.900,30.300,226,0.49
2016-01-05,30.600,30.500,31.200,30.350,248,1.49
2016-01-04,30.150,30.550,30.750,30.150,186,-1.95
2016-01-03,30.750,30.750,30.750,30.750,052,0.00
2015-12-30,30.750,31.100,31.450,30.550,179,-1.44
2015-12-29,31.200,30.900,31.550,30.800,196,0.97
2015-12-28,30.900,31.750,31.850,30.900,252,-2.52
2015-12-27,31.700,31.700,31.700,31.700,069,0.00
2015-12-24,31.700,32.950,33.150,31.700,361,-3.06
2015-12-23,32.700,32.100,33.000,31.900,502,1.55
2015-12-22,32.200,31.000,32.200,30.800,676,5.57
2015-12-21,30.500,30.450,30.800,30.250,157,-0.33
2015-12-20,30.600,30.600,30.600,30.600,068,0.00
2015-12-18,30.600,29.800,30.700,29.800,285,1.16
2015-12-17,30.250,30.250,30.550,29.800,221,-0.49
2015-12-16,30.400,30.050,30.500,29.900,259,3.40
2015-12-15,29.400,29.050,29.600,28.800,199,1.38
2015-12-14,29.000,29.000,29.350,28.550,366,-2.85
2015-12-13,29.850,29.850,29.850,29.850,008,0.00
2015-12-11,29.850,30.200,30.550,29.600,269,-1.49
2015-12-10,30.300,30.200,30.550,30.050,310,0.17
2015-12-09,30.250,30.100,30.550,30.100,151,0.17
2015-12-08,30.200,30.500,30.750,30.050,247,-1.63
2015-12-07,30.700,31.450,31.700,30.700,223,-1.60
2015-12-06,31.200,31.200,31.200,31.200,021,0.00
2015-12-04,31.200,30.700,31.450,30.600,210,0.16
2015-12-03,31.150,31.050,31.350,30.850,172,-0.16
2015-12-02,31.200,31.550,31.900,31.200,271,-0.48
2015-12-01,31.350,31.650,31.650,30.900,373,-0.79
2015-11-30,31.600,32.050,32.650,31.600,390,-1.25
2015-11-29,32.000,32.000,32.000,32.000,2342,0.00
