Date,Open,High,Low,Close,Adj Close,Volume
2011-03-24,28550.000000,29050.000000,28200.000000,29000.000000,26906.328125,224945
2011-03-25,29500.000000,29950.000000,28000.000000,28150.000000,26117.693359,330543
2011-03-28,28150.000000,28150.000000,27350.000000,27750.000000,25746.572266,330232
2011-03-29,27750.000000,28400.000000,27450.000000,28400.000000,26349.644531,349250
2011-03-30,28800.000000,29200.000000,28250.000000,28350.000000,26303.253906,452504
2011-03-31,28800.000000,28800.000000,27500.000000,27750.000000,25746.572266,479382
2011-04-01,27700.000000,29000.000000,27650.000000,28650.000000,26581.597656,434781
2011-04-04,28700.000000,28750.000000,27850.000000,28200.000000,26164.085938,240081
2011-04-05,28100.000000,30000.000000,28050.000000,29650.000000,27509.400391,493214
2011-04-06,29950.000000,30850.000000,29500.000000,30400.000000,28205.255859,577202
2011-04-07,30950.000000,31350.000000,30100.000000,31200.000000,28947.498047,393175
2011-04-08,31500.000000,32000.000000,30850.000000,31200.000000,28947.498047,285950
2011-04-11,31200.000000,33250.000000,31000.000000,33200.000000,30803.107422,363878
2011-04-12,33600.000000,34200.000000,32350.000000,32500.000000,30153.644531,497230
2011-04-13,32000.000000,32800.000000,31150.000000,32500.000000,30153.644531,412346
2011-04-14,32900.000000,33250.000000,32200.000000,32950.000000,30571.154297,289024
2011-04-15,33300.000000,35300.000000,33250.000000,35300.000000,32751.494141,606804
2011-04-18,35750.000000,36600.000000,35100.000000,35900.000000,33308.179688,788551
2011-04-19,35600.000000,38000.000000,34900.000000,36550.000000,33911.250000,774234
2011-04-20,37200.000000,37650.000000,35550.000000,35800.000000,33215.398438,563977
2011-04-21,36050.000000,37350.000000,34450.000000,37000.000000,34328.765625,634473
2011-04-22,37150.000000,37750.000000,36100.000000,36150.000000,33540.132813,429262
2011-04-25,35650.000000,36300.000000,34050.000000,35000.000000,32473.156250,897205
2011-04-26,35100.000000,35450.000000,32800.000000,33000.000000,30617.544922,1452946
2011-04-27,33900.000000,34950.000000,31300.000000,32050.000000,29736.132813,1313271
2011-04-28,32350.000000,33400.000000,31700.000000,32650.000000,30292.814453,500622
2011-04-29,32500.000000,32950.000000,30950.000000,32300.000000,29968.083984,603997
2011-05-02,32300.000000,32800.000000,31450.000000,31900.000000,29596.962891,392136
2011-05-03,31650.000000,33000.000000,31200.000000,32050.000000,29736.132813,545049
2011-05-04,32650.000000,33300.000000,32000.000000,33200.000000,30803.107422,395328
2011-05-06,32550.000000,32550.000000,29950.000000,30950.000000,28715.546875,592750
2011-05-09,31000.000000,31550.000000,30350.000000,30750.000000,28529.986328,253516
2011-05-11,31400.000000,31600.000000,30400.000000,31350.000000,29086.667969,439454
2011-05-12,30400.000000,30750.000000,30150.000000,30150.000000,27973.302734,276655
2011-05-13,30400.000000,30500.000000,28800.000000,29150.000000,27045.500000,432342
